wavenumbers,absorbance
400.0,1.7495735580363577e-23
401.0,0.0
402.0,0.0
403.0,5.414031513758701e-19
404.0,1.777844660911809e-29
405.0,7.01389721633121e-14
406.0,0.0
407.0,0.0
408.0,0.0
409.0,6.259984565858856e-24
410.0,0.0
411.0,0.0
412.0,6.713154326165673e-31
413.0,3.175906642654593e-20
414.0,0.0
415.0,9.78862115422336e-15
416.0,0.0
417.0,0.0
418.0,2.890874739919638e-25
419.0,0.0
420.0,8.885566529161191e-32
421.0,0.0
422.0,1.3848905071343462e-18
423.0,0.0
424.0,0.0
425.0,2.6349886065742804e-14
426.0,3.576320674691582e-27
427.0,0.0
428.0,0.0
429.0,0.0
430.0,0.0
431.0,2.0714729915659228e-21
432.0,0.0
433.0,0.0
434.0,0.0
435.0,9.86168052821102e-17
436.0,0.0
437.0,0.0
438.0,0.0
439.0,0.0
440.0,3.477521555377907e-22
441.0,0.0
442.0,0.0
443.0,0.0
444.0,1.7494843812317594e-17
445.0,0.0
446.0,0.0
447.0,0.0
448.0,0.0
449.0,3.761956073892414e-22
450.0,0.0
451.0,0.0
452.0,0.0
453.0,0.0
454.0,6.395861007928855e-19
455.0,0.0
456.0,0.0
457.0,0.0
458.0,0.0
459.0,0.0
460.0,0.0
461.0,0.0
462.0,0.0
463.0,1.8813456188947834e-19
464.0,0.0
465.0,0.0
466.0,0.0
467.0,0.0
468.0,0.0
469.0,0.0
470.0,0.0
471.0,0.0
472.0,0.0
473.0,0.0
474.0,0.0
475.0,0.0
476.0,0.0
477.0,0.0
478.0,0.0
479.0,0.0
480.0,0.0
481.0,0.0
482.0,0.0
483.0,0.0
484.0,0.0
485.0,0.0
486.0,0.0
487.0,0.0
488.0,0.0
489.0,0.0
490.0,0.0
491.0,0.0
492.0,0.0
493.0,0.0
494.0,0.0
495.0,0.0
496.0,0.0
497.0,0.0
498.0,0.0
499.0,0.0
500.0,0.0
501.0,0.0
502.0,0.0
503.0,0.0
504.0,0.0
505.0,0.0
506.0,0.0
507.0,0.0
508.0,0.0
509.0,0.0
510.0,0.0
511.0,0.0
512.0,0.0
513.0,0.0
514.0,0.0
515.0,0.0
516.0,0.0
517.0,0.0
518.0,0.0
519.0,0.0
520.0,0.0
521.0,0.0
522.0,0.0
523.0,0.0
524.0,0.0
525.0,0.0
526.0,0.0
527.0,0.0
528.0,0.0
529.0,0.0
530.0,0.0
531.0,0.0
532.0,0.0
533.0,0.0
534.0,0.0
535.0,0.0
536.0,0.0
537.0,0.0
538.0,0.0
539.0,0.0
540.0,0.0
541.0,0.0
542.0,0.0
543.0,0.0
544.0,0.0
545.0,0.0
546.0,0.0
547.0,0.0
548.0,0.0
